mode,H,fee_bps,min_agree_k,agree_eps,min_mag,action_thresh,linear_scale,hold_bars,rows,trades,trade_winrate,per_bar_hitrate,equity_end,Sharpe_like,MaxDD,CAGR_like,exposure,avg_turnover,avg_trade_pnl,median_trade_pnl,saturation_neg1,saturation_pos1,saturation_mid,gate_csv,tag
sign,40,5.0,2,0.05,0.1,0.05,,12,80,5,40.0,41.07,1.0065,0.17,0.83,0.65,70.0,0.1125,0.001404,-0.000861,0,0,200,gate_k2_eps0.05_mag0.1_th0.05_hold12.csv,k2_eps0.05_mag0.1_th0.05_hold12
sign,40,5.0,2,0.05,0.1,0.05,,4,80,7,57.14,73.68,1.0084,0.23,0.46,0.84,47.5,0.1625,0.001621,0.000501,0,0,200,gate_k2_eps0.05_mag0.1_th0.05_hold4.csv,k2_eps0.05_mag0.1_th0.05_hold4
sign,40,5.0,2,0.05,0.1,0.05,,8,80,4,50.0,69.05,1.0126,0.36,0.28,1.26,52.5,0.0875,0.003498,0.00217,0,0,200,gate_k2_eps0.05_mag0.1_th0.05_hold8.csv,k2_eps0.05_mag0.1_th0.05_hold8
sign,40,5.0,2,0.05,0.1,0.15,,12,80,5,40.0,36.54,1.0048,0.13,0.83,0.48,65.0,0.1125,0.001057,-0.000861,0,0,200,gate_k2_eps0.05_mag0.1_th0.15_hold12.csv,k2_eps0.05_mag0.1_th0.15_hold12
sign,40,5.0,2,0.05,0.1,0.15,,4,80,7,42.86,56.25,1.0003,0.01,0.59,0.03,40.0,0.1625,0.000479,-0.000126,0,0,200,gate_k2_eps0.05_mag0.1_th0.15_hold4.csv,k2_eps0.05_mag0.1_th0.15_hold4
sign,40,5.0,2,0.05,0.1,0.15,,8,80,4,50.0,67.57,1.0078,0.27,0.29,0.78,46.25,0.1,0.002448,0.002147,0,0,200,gate_k2_eps0.05_mag0.1_th0.15_hold8.csv,k2_eps0.05_mag0.1_th0.15_hold8
sign,40,5.0,2,0.05,0.1,0.1,,12,80,5,40.0,41.07,1.0065,0.17,0.83,0.65,70.0,0.1125,0.001404,-0.000861,0,0,200,gate_k2_eps0.05_mag0.1_th0.1_hold12.csv,k2_eps0.05_mag0.1_th0.1_hold12
sign,40,5.0,2,0.05,0.1,0.1,,4,80,7,57.14,73.68,1.0084,0.23,0.46,0.84,47.5,0.1625,0.001621,0.000501,0,0,200,gate_k2_eps0.05_mag0.1_th0.1_hold4.csv,k2_eps0.05_mag0.1_th0.1_hold4
sign,40,5.0,2,0.05,0.1,0.1,,8,80,4,50.0,69.05,1.0126,0.36,0.28,1.26,52.5,0.0875,0.003498,0.00217,0,0,200,gate_k2_eps0.05_mag0.1_th0.1_hold8.csv,k2_eps0.05_mag0.1_th0.1_hold8
sign,40,5.0,2,0.05,0.2,0.05,,12,80,1,0.0,58.33,0.9993,-0.11,0.07,-0.07,15.0,0.025,-0.000226,-0.000226,0,0,200,gate_k2_eps0.05_mag0.2_th0.05_hold12.csv,k2_eps0.05_mag0.2_th0.05_hold12
sign,40,5.0,2,0.05,0.2,0.05,,4,80,2,0.0,37.5,0.9975,-0.27,0.26,-0.25,10.0,0.05,-0.000775,-0.000775,0,0,200,gate_k2_eps0.05_mag0.2_th0.05_hold4.csv,k2_eps0.05_mag0.2_th0.05_hold4
