row_idx,agree,action,details
0,1,-1.0,{'actors': 3
1,1,-1.0,{'actors': 3
2,1,-1.0,{'actors': 3
3,1,-1.0,{'actors': 3
4,1,-1.0,{'actors': 3
5,1,-1.0,{'actors': 3
6,1,-1.0,{'actors': 3
7,1,-1.0,{'actors': 3
8,1,-1.0,{'actors': 3
9,1,-1.0,{'actors': 3
10,1,-1.0,{'actors': 3
11,1,-1.0,{'actors': 3
12,1,-1.0,{'actors': 3
13,1,-1.0,{'actors': 3
14,1,-1.0,{'actors': 3
15,1,-1.0,{'actors': 3
16,1,-1.0,{'actors': 3
17,1,-1.0,{'actors': 3
18,1,-1.0,{'actors': 3
19,1,-1.0,{'actors': 3
20,1,-1.0,{'actors': 3
21,1,-1.0,{'actors': 3
22,1,-1.0,{'actors': 3
23,1,-1.0,{'actors': 3
24,1,-1.0,{'actors': 3
25,1,-1.0,{'actors': 3
26,1,-1.0,{'actors': 3
27,1,-1.0,{'actors': 3
28,1,-1.0,{'actors': 3
29,1,-1.0,{'actors': 3
30,1,-1.0,{'actors': 3
31,1,-1.0,{'actors': 3
32,1,-1.0,{'actors': 3
33,1,-1.0,{'actors': 3
34,1,-1.0,{'actors': 3
35,1,-1.0,{'actors': 3
36,1,-1.0,{'actors': 3
37,1,-1.0,{'actors': 3
38,1,-1.0,{'actors': 3
39,1,-1.0,{'actors': 3
40,1,-1.0,{'actors': 3
41,1,-1.0,{'actors': 3
42,1,-1.0,{'actors': 3
43,1,-1.0,{'actors': 3
44,1,-1.0,{'actors': 3
45,1,-1.0,{'actors': 3
46,1,-1.0,{'actors': 3
47,1,-1.0,{'actors': 3
48,1,-1.0,{'actors': 3
49,1,-1.0,{'actors': 3
50,1,-1.0,{'actors': 3
51,1,-1.0,{'actors': 3
52,1,-1.0,{'actors': 3
53,1,-1.0,{'actors': 3
54,1,-1.0,{'actors': 3
55,1,-1.0,{'actors': 3
56,1,-1.0,{'actors': 3
57,1,-1.0,{'actors': 3
58,1,-1.0,{'actors': 3
59,1,-1.0,{'actors': 3
60,1,-1.0,{'actors': 3
61,1,-1.0,{'actors': 3
62,1,-1.0,{'actors': 3
63,1,-1.0,{'actors': 3
64,1,-1.0,{'actors': 3
65,1,-1.0,{'actors': 3
66,1,-1.0,{'actors': 3
67,1,-1.0,{'actors': 3
68,1,-1.0,{'actors': 3
69,1,-1.0,{'actors': 3
70,1,-1.0,{'actors': 3
71,1,-1.0,{'actors': 3
72,1,-1.0,{'actors': 3
73,1,-1.0,{'actors': 3
74,1,-1.0,{'actors': 3
75,1,-1.0,{'actors': 3
76,1,-1.0,{'actors': 3
77,1,-1.0,{'actors': 3
78,1,-1.0,{'actors': 3
79,1,-1.0,{'actors': 3
80,1,-1.0,{'actors': 3
81,1,-1.0,{'actors': 3
82,1,-1.0,{'actors': 3
83,1,-1.0,{'actors': 3
84,1,-1.0,{'actors': 3
85,1,-1.0,{'actors': 3
86,1,-1.0,{'actors': 3
87,1,-1.0,{'actors': 3
88,1,-1.0,{'actors': 3
89,1,-1.0,{'actors': 3
90,1,-1.0,{'actors': 3
91,1,-1.0,{'actors': 3
92,1,-1.0,{'actors': 3
93,1,-1.0,{'actors': 3
94,1,-1.0,{'actors': 3
95,1,-1.0,{'actors': 3
96,1,-1.0,{'actors': 3
97,1,-1.0,{'actors': 3
98,1,-1.0,{'actors': 3
99,1,-1.0,{'actors': 3
100,1,-1.0,{'actors': 3
101,1,-1.0,{'actors': 3
102,1,-1.0,{'actors': 3
103,1,-1.0,{'actors': 3
104,1,-1.0,{'actors': 3
105,1,-1.0,{'actors': 3
106,1,-1.0,{'actors': 3
107,1,-1.0,{'actors': 3
108,1,-1.0,{'actors': 3
109,1,-1.0,{'actors': 3
110,1,-1.0,{'actors': 3
111,1,-1.0,{'actors': 3
112,1,-1.0,{'actors': 3
113,1,-1.0,{'actors': 3
114,1,-1.0,{'actors': 3
115,1,-1.0,{'actors': 3
116,1,-1.0,{'actors': 3
117,1,-1.0,{'actors': 3
118,1,-1.0,{'actors': 3
119,1,-1.0,{'actors': 3
120,1,-1.0,{'actors': 3
121,1,-1.0,{'actors': 3
122,1,-1.0,{'actors': 3
123,1,-1.0,{'actors': 3
124,1,-1.0,{'actors': 3
125,1,-1.0,{'actors': 3
126,1,-1.0,{'actors': 3
127,1,-1.0,{'actors': 3
128,1,-1.0,{'actors': 3
129,1,-1.0,{'actors': 3
130,1,-1.0,{'actors': 3
131,1,-1.0,{'actors': 3
132,1,-1.0,{'actors': 3
133,1,-1.0,{'actors': 3
134,1,-1.0,{'actors': 3
135,1,-1.0,{'actors': 3
136,1,-1.0,{'actors': 3
137,1,-1.0,{'actors': 3
138,1,-1.0,{'actors': 3
139,1,-1.0,{'actors': 3
140,1,-1.0,{'actors': 3
141,1,-1.0,{'actors': 3
142,1,-1.0,{'actors': 3
143,1,-1.0,{'actors': 3
144,1,-1.0,{'actors': 3
145,1,-1.0,{'actors': 3
146,1,-1.0,{'actors': 3
147,1,-1.0,{'actors': 3
148,1,-1.0,{'actors': 3
149,1,-1.0,{'actors': 3
150,1,-1.0,{'actors': 3
151,1,-1.0,{'actors': 3
152,1,-1.0,{'actors': 3
153,1,-1.0,{'actors': 3
154,1,-1.0,{'actors': 3
155,1,-1.0,{'actors': 3
156,1,-1.0,{'actors': 3
157,1,-1.0,{'actors': 3
158,1,-1.0,{'actors': 3
159,1,-1.0,{'actors': 3
160,1,-1.0,{'actors': 3
161,1,-1.0,{'actors': 3
162,1,-1.0,{'actors': 3
163,1,-1.0,{'actors': 3
164,1,-1.0,{'actors': 3
165,1,-1.0,{'actors': 3
166,1,-1.0,{'actors': 3
167,1,-1.0,{'actors': 3
168,1,-1.0,{'actors': 3
169,1,-1.0,{'actors': 3
170,1,-1.0,{'actors': 3
171,1,-1.0,{'actors': 3
172,1,-1.0,{'actors': 3
173,1,-1.0,{'actors': 3
174,1,-1.0,{'actors': 3
175,1,-1.0,{'actors': 3
176,1,-1.0,{'actors': 3
177,1,-1.0,{'actors': 3
178,1,-1.0,{'actors': 3
179,1,-1.0,{'actors': 3
180,1,-1.0,{'actors': 3
181,1,-1.0,{'actors': 3
182,1,-1.0,{'actors': 3
183,1,-1.0,{'actors': 3
184,1,-1.0,{'actors': 3
185,1,-1.0,{'actors': 3
186,1,-1.0,{'actors': 3
187,1,-1.0,{'actors': 3
188,1,-1.0,{'actors': 3
189,1,-1.0,{'actors': 3
190,1,-1.0,{'actors': 3
191,1,-1.0,{'actors': 3
192,1,-1.0,{'actors': 3
193,1,-1.0,{'actors': 3
194,1,-1.0,{'actors': 3
195,1,-1.0,{'actors': 3
196,1,-1.0,{'actors': 3
197,1,-1.0,{'actors': 3
198,1,-1.0,{'actors': 3
199,1,-1.0,{'actors': 3
