ts,prev_pos,next_pos,raw_action,th,hold_bars,hold_counter
2025-10-05T02:54:15.690963,0,0,-0.680430,0.10,12,1
2025-10-05T02:54:33.597002,0,0,-0.680430,0.10,12,2
2025-10-05T02:54:51.425119,0,0,-0.680430,0.10,12,3
2025-10-05T02:55:09.166620,0,0,-0.680430,0.10,12,4
2025-10-05T02:55:26.958954,0,0,-0.680430,0.10,12,5
2025-10-05T02:55:44.695699,0,0,-0.680430,0.10,12,6
2025-10-05T02:56:02.489726,0,0,-0.680430,0.10,12,7
2025-10-05T02:56:20.291283,0,0,-0.680430,0.10,12,8
2025-10-05T02:56:38.320370,0,0,-0.680430,0.10,12,9
2025-10-05T03:00:18.569240,0,-1,-0.960132,0.10,0.10,12,0,0.100000,75.419432,
2025-10-05T03:00:36.371112,-1,-1,-0.960132,0.10,0.10,12,1,0.100000,75.419432,
2025-10-05T03:00:54.431071,-1,-1,-0.960132,0.10,0.10,12,2,0.100000,75.419432,
2025-10-05T03:01:12.237385,-1,-1,-0.960132,0.10,0.10,12,3,0.100000,75.419432,
2025-10-05T03:01:30.004221,-1,-1,-0.960132,0.10,0.10,12,4,0.100000,75.419432,
2025-10-05T03:01:49.072908,-1,-1,-0.960132,0.10,0.10,12,5,0.100000,75.419432,
2025-10-05T03:03:09.511+00:00,-1,-1,-0.960132,0.10,0.10,12,6,0.100000,75.419432,
