row_idx,agree,action,min_q
0,0,0.0,
1,0,0.0,
2,0,0.0,
3,0,0.0,
4,0,0.0,
5,1,0.16818609833717346,
6,0,0.0,
7,0,0.0,
8,1,-0.21211537718772888,
9,0,0.0,
10,0,0.0,
11,0,0.0,
12,1,0.16478601098060608,
13,1,-0.23517632484436035,
14,1,-0.1509292721748352,
15,1,-0.15030595660209656,
16,1,-0.21258145570755005,
17,1,-0.2942718267440796,
18,1,-0.34400585293769836,
19,1,-0.2337709665298462,
20,1,-0.2000274956226349,
21,1,-0.13673660159111023,
22,0,0.0,
23,0,0.0,
24,1,-0.25211626291275024,
25,1,-0.23266904056072235,
26,0,0.0,
27,0,0.0,
28,0,0.0,
29,0,0.0,
30,0,0.0,
31,0,0.0,
32,1,0.2301623523235321,
33,1,0.18123289942741394,
34,0,0.0,
35,1,0.2501734793186188,
36,1,0.22562053799629211,
37,0,0.0,
38,1,-0.15867680311203003,
39,0,0.0,
40,0,0.0,
41,0,0.0,
42,0,0.0,
43,1,0.20534688234329224,
44,1,0.15838263928890228,
45,1,0.16484156250953674,
46,0,0.0,
47,0,0.0,
48,1,-0.27521082758903503,
49,0,0.0,
50,1,-0.1278371959924698,
51,0,0.0,
52,1,-0.1359468549489975,
53,0,0.0,
54,0,0.0,
55,0,0.0,
56,1,-0.11690264940261841,
57,1,-0.1124606728553772,
58,1,-0.11087691783905029,
59,1,-0.11105740070343018,
60,0,0.0,
61,0,0.0,
62,0,0.0,
63,0,0.0,
64,0,0.0,
65,0,0.0,
66,1,-0.1736236810684204,
67,0,0.0,
68,0,0.0,
69,0,0.0,
70,0,0.0,
71,0,0.0,
72,1,-0.11970832943916321,
73,0,0.0,
74,0,0.0,
75,0,0.0,
76,1,-0.17562726140022278,
77,0,0.0,
78,0,0.0,
79,0,0.0,
80,0,0.0,
81,0,0.0,
82,0,0.0,
83,1,-0.2089758962392807,
84,0,0.0,
85,0,0.0,
86,0,0.0,
87,0,0.0,
88,0,0.0,
89,0,0.0,
90,0,0.0,
91,0,0.0,
92,0,0.0,
93,1,0.1268446445465088,
94,0,0.0,
95,0,0.0,
96,0,0.0,
97,0,0.0,
98,0,0.0,
99,0,0.0,
100,0,0.0,
101,0,0.0,
102,1,0.14503151178359985,
103,0,0.0,
104,0,0.0,
105,0,0.0,
106,0,0.0,
107,0,0.0,
108,1,0.26822784543037415,
109,0,0.0,
110,1,0.24367894232273102,
111,1,0.35737019777297974,
112,1,-0.18782033026218414,
113,0,0.0,
114,0,0.0,
115,0,0.0,
116,1,0.17381435632705688,
117,0,0.0,
118,0,0.0,
119,0,0.0,
120,1,0.3774217963218689,
121,1,0.27189525961875916,
122,0,0.0,
123,0,0.0,
124,0,0.0,
125,0,0.0,
126,0,0.0,
127,0,0.0,
128,0,0.0,
129,0,0.0,
130,1,0.18161356449127197,
131,1,0.19495058059692383,
132,0,0.0,
133,0,0.0,
134,0,0.0,
135,1,0.22914783656597137,
136,1,0.25247037410736084,
137,0,0.0,
138,1,0.3416729271411896,
139,1,0.29595816135406494,
140,1,0.23795871436595917,
141,0,0.0,
142,1,-0.17557144165039062,
143,1,0.32563453912734985,
144,1,0.21486666798591614,
145,1,0.22277191281318665,
146,1,0.16276997327804565,
147,0,0.0,
148,0,0.0,
149,0,0.0,
150,0,0.0,
151,0,0.0,
152,1,0.18099352717399597,
153,1,0.28504911065101624,
154,0,0.0,
155,1,0.22008228302001953,
156,1,0.1343025267124176,
157,0,0.0,
158,0,0.0,
159,0,0.0,
160,0,0.0,
161,1,0.14720125496387482,
162,0,0.0,
163,0,0.0,
164,0,0.0,
165,1,-0.22151358425617218,
166,0,0.0,
167,0,0.0,
168,0,0.0,
169,0,0.0,
170,1,0.20147794485092163,
171,0,0.0,
172,0,0.0,
173,1,0.1731414794921875,
174,1,0.18245071172714233,
175,0,0.0,
176,0,0.0,
177,1,0.20215818285942078,
178,1,0.14462733268737793,
179,1,-0.16497620940208435,
180,0,0.0,
181,0,0.0,
182,0,0.0,
183,1,-0.20377826690673828,
184,0,0.0,
185,0,0.0,
186,0,0.0,
187,0,0.0,
188,0,0.0,
189,0,0.0,
190,0,0.0,
191,0,0.0,
192,0,0.0,
193,0,0.0,
194,0,0.0,
195,1,0.1577838659286499,
196,1,0.16002455353736877,
197,1,0.1394982635974884,
198,0,0.0,
199,0,0.0,
